pic_id,Camera_Make,Camera_Model,Exposure,Aperture,Exposure_Program,ISO,Metering_Mode,Flash,Focal_Length,Color_Space,Lens_Model
42037478625,SONY,ILCE-7M2,0.3,22.0,Aperture-priority AE,100.0,Spot,"Off, Did not fire",18.0,sRGB,FE 16-35mm F4 ZA OSS
28027601487,Canon,Canon EOS 5D Mark III,1.0,13.0,Manual,160.0,Multi-segment,"Off, Did not fire",16.0,sRGB,EF16-35mm f/4L IS USM
28055850137,FUJIFILM,FinePix XP90 XP91 XP95,0.008,4.9,Program AE,200.0,Multi-segment,"Auto, Did not fire",25.0,sRGB,EF16-35mm f/4L IS USM
29055978218,NIKON CORPORATION,NIKON D500,0.0008,4.0,Manual,160.0,Multi-segment,No Flash,500.0,sRGB,500.0 mm f/4.0
28993548548,Canon,Canon EOS 5D Mark IV,0.3,22.0,Aperture-priority AE,160.0,Multi-segment,"Off, Did not fire",15.0,sRGB,500.0 mm f/4.0
25943542447,NIKON CORPORATION,NIKON D850,0.25,22.0,Aperture-priority AE,31.0,Multi-segment,No Flash,38.0,Uncalibrated,24.0-70.0 mm f/2.8
29008858688,Canon,Canon EOS 5D Mark III,0.02,13.0,Aperture-priority AE,250.0,Multi-segment,"Off, Did not fire",28.0,Uncalibrated,EF24-105mm f/4L IS USM
29044509628,Canon,Canon EOS 5D Mark II,182.0,11.0,Bulb,100.0,Multi-segment,"Off, Did not fire",70.0,sRGB,EF24-105mm f/4L IS USM
41123639690,Canon,Canon EOS 80D,6.0,10.0,Manual,100.0,Multi-segment,"Off, Did not fire",65.0,sRGB,EF-S15-85mm f/3.5-5.6 IS USM
42943269471,Canon,Canon EOS 5D Mark III,2.5,14.0,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",24.0,Uncalibrated,EF24-105mm f/4L IS USM
29068388858,Canon,Canon EOS REBEL T3i,0.125,0.0,Manual,100.0,Multi-segment,"Off, Did not fire",50.0,sRGB,EF24-105mm f/4L IS USM
42078893442,Canon,Canon EOS REBEL T3i,0.125,0.0,Manual,100.0,Multi-segment,"Off, Did not fire",50.0,sRGB,EF24-105mm f/4L IS USM
41114287640,NIKON CORPORATION,NIKON D7200,10.0,11.0,Manual,100.0,Multi-segment,"Off, Did not fire",12.6,sRGB,EF24-105mm f/4L IS USM
28005701107,NIKON CORPORATION,NIKON D810,101.0,3.5,Manual,2500.0,Multi-segment,"Off, Did not fire",14.0,sRGB,14.0-24.0 mm f/2.8
28718151388,SONY,ILCE-7RM2,1.0,11.0,Manual,50.0,Spot,"Off, Did not fire",16.0,sRGB,FE 16-35mm F4 ZA OSS
42914975571,"RICOH IMAGING COMPANY, LTD.",PENTAX K-1,0.008,5.6,Aperture-priority AE,800.0,Center-weighted average,"Off, Did not fire",15.0,sRGB,FE 16-35mm F4 ZA OSS
42707748272,FUJIFILM,X-T2,0.002,8.0,Manual,200.0,Multi-segment,No Flash,18.0,sRGB,XF18-55mmF2.8-4 R LM OIS
42458334062,OLYMPUS IMAGING CORP.,E-M10,0.0008,8.0,Aperture-priority AE,320.0,Center-weighted average,"Auto, Did not fire",17.0,sRGB,OLYMPUS M.12-40mm F2.8
42101363431,SONY,ILCE-7RM2,0.8,8.0,Manual,100.0,Multi-segment,"Off, Did not fire",18.0,sRGB,ZEISS Batis 2.8/18
42389059992,SONY,ILCE-6300,0.5,13.0,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",12.0,sRGB,ZEISS Batis 2.8/18
42611904272,NIKON CORPORATION,NIKON D7200,0.01,9.0,Aperture-priority AE,200.0,Multi-segment,"Off, Did not fire",40.0,Uncalibrated,18.0-55.0 mm f/3.5-5.6
