pic_id,Camera_Make,Camera_Model,Exposure,Aperture,Exposure_Program,ISO,Metering_Mode,Flash,Focal_Length,Color_Space,Lens_Model
42889603032,Canon,Canon EOS 6D,0.005555555555555556,9.5,Aperture-priority AE,100.0,Evaluative,"Off, Did not fire",24.0,sRGB,EF24-105mm f/4L IS USM
42936491562,NIKON CORPORATION,NIKON D750,0.5,8.0,Manual,100.0,Multi-segment,"Off, Did not fire",50.0,Uncalibrated,50.0 mm f/1.8
27760259209,PENTAX,PENTAX K-5 II s,5.0,8.0,Aperture-priority AE,80.0,Multi-segment,"Off, Did not fire",28.0,Uncalibrated,smc PENTAX-F 28mm F2.8
40059848781,NIKON CORPORATION,NIKON D750,248.0,13.0,Manual,100.0,Multi-segment,"Off, Did not fire",21.0,Uncalibrated,Zeiss Distagon T* 2.8/21mm ZF.2
39073510820,NIKON CORPORATION,NIKON D750,20.0,13.0,Manual,100.0,Center-weighted average,"Off, Did not fire",21.0,sRGB,0.0 mm f/0.0
42107771194,Canon,Canon EOS REBEL T5i,0.0125,8.0,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",50.0,sRGB,18-270mm
27991165517,NIKON CORPORATION,NIKON D810,259.0,11.0,Manual,200.0,Center-weighted average,"Off, Did not fire",18.0,sRGB,16.0-35.0 mm f/4.0
41024269320,NIKON CORPORATION,NIKON D810,259.0,11.0,Manual,200.0,Center-weighted average,"Off, Did not fire",18.0,sRGB,16.0-35.0 mm f/4.0
42930550411,Canon,Canon EOS 70D,0.025,8.0,Aperture-priority AE,100.0,Center-weighted average,"Off, Did not fire",35.0,Adobe RGB,EF-S18-135mm f/3.5-5.6 IS STM
27342024277,Canon,Canon EOS 6D,20.0,13.0,Manual,200.0,Center-weighted average,"Off, Did not fire",95.0,sRGB,EF24-105mm f/4L IS USM
27964065317,NIKON CORPORATION,NIKON D200,0.008,9.0,Aperture-priority AE,400.0,Multi-segment,No Flash,122.0,Uncalibrated,EF24-105mm f/4L IS USM
26188325958,Canon,Canon EOS 30D,15.0,13.0,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",18.0,sRGB,EF24-105mm f/4L IS USM
27040504657,Canon,Canon EOS 7D Mark II,0.0005,2.8,Shutter speed priority AE,100.0,Partial,"Off, Did not fire",50.0,sRGB,EF50mm f/1.8 STM
41853134975,NIKON CORPORATION,NIKON D300,0.00625,3.5,Program AE,200.0,Multi-segment,"On, Return detected",105.0,Uncalibrated,105.0 mm f/2.8
41303557844,NIKON CORPORATION,NIKON D7000,0.002,6.3,Not Defined,400.0,Multi-segment,"Off, Did not fire",427.1,sRGB,105.0 mm f/2.8
26817143388,Canon,Canon EOS 5D Mark II,0.004,8.0,Aperture-priority AE,800.0,Partial,"Off, Did not fire",150.0,sRGB,TAMRON SP 150-600mm F/5-6.3 Di VC USD A011
39947650011,Canon,Canon EOS 6D,0.2,2.8,Manual,1600.0,Multi-segment,"Off, Did not fire",70.0,sRGB,EF24-70mm f/2.8L II USM
42611904272,NIKON CORPORATION,NIKON D7200,0.01,9.0,Aperture-priority AE,200.0,Multi-segment,"Off, Did not fire",40.0,Uncalibrated,18.0-55.0 mm f/3.5-5.6
28114722117,SONY,DSC-RX100,0.00125,7.1,Landscape,125.0,Multi-segment,"Off, Did not fire",10.4,Uncalibrated,18.0-55.0 mm f/3.5-5.6
41812284462,Canon,Canon EOS 70D,0.02,4.5,Manual,200.0,Multi-segment,"Off, Did not fire",18.0,Uncalibrated,EF-S10-22mm f/3.5-4.5 USM
40651741161,Canon,Canon EOS 70D,0.02,4.5,Manual,200.0,Multi-segment,"Off, Did not fire",18.0,Uncalibrated,EF-S10-22mm f/3.5-4.5 USM
27318652257,NIKON CORPORATION,NIKON D500,0.0015625,3.5,Manual,200.0,Spot,No Flash,105.0,sRGB,105.0 mm f/2.8
24815661297,NIKON CORPORATION,NIKON D7000,1.6,13.0,Aperture-priority AE,800.0,Multi-segment,"Off, Did not fire",27.0,sRGB,18.0-200.0 mm f/3.5-5.6
25216847117,Canon,Canon EOS 5D Mark III,0.07692307692307693,9.0,Aperture-priority AE,400.0,Spot,"Off, Did not fire",100.0,sRGB,EF24-105mm f/4L IS USM
40318699850,NIKON CORPORATION,NIKON D5600,0.003125,10.0,Not Defined,400.0,Multi-segment,"Off, Did not fire",16.0,sRGB,16.0-300.0 mm f/3.5-6.3
41138361735,SONY,ILCA-77M2,0.00625,16.0,Shutter speed priority AE,100.0,Center-weighted average,"Off, Did not fire",10.0,sRGB,----
41858240275,OLYMPUS CORPORATION,E-M10MarkII,0.06666666666666667,16.0,Manual,800.0,Spot,"Auto, Did not fire",10.0,Uncalibrated,----
