pic_id,Camera_Make,Camera_Model,Exposure,Aperture,Exposure_Program,ISO,Metering_Mode,Flash,Focal_Length,Color_Space,Lens_Model
41086581740,NIKON CORPORATION,NIKON D750,0.0025,3.5,Aperture-priority AE,320.0,Multi-segment,"Off, Did not fire",105.0,sRGB,105.0 mm f/2.8
28986715788,NIKON CORPORATION,NIKON D750,0.0025,3.5,Aperture-priority AE,320.0,Multi-segment,"Off, Did not fire",105.0,sRGB,105.0 mm f/2.8
28075470657,Canon,Canon EOS 5D Mark IV,0.005,14.0,Manual,100.0,Multi-segment,"On, Fired",65.0,sRGB,MP-E65mm f/2.8 1-5x Macro Photo
40975894360,Canon,Canon EOS REBEL T4i,0.0025,5.6,Program AE,250.0,Evaluative,"Off, Did not fire",300.0,sRGB,EF75-300mm f/4-5.6
29076662308,SONY,ILCE-5100,0.001,7.1,Manual,200.0,Multi-segment,"Off, Did not fire",107.0,sRGB,E 18-200mm F3.5-6.3 OSS LE
41869123315,SONY,ILCE-6000,0.0025,6.3,Program AE,320.0,Multi-segment,"Off, Did not fire",210.0,sRGB,E 55-210mm F4.5-6.3 OSS
42791589872,NIKON CORPORATION,NIKON D610,0.00625,10.0,Manual,320.0,Center-weighted average,"Off, Did not fire",105.0,Uncalibrated,105.0 mm f/2.8
41037467330,SONY,ILCE-7M3,0.0004,2.2,Shutter speed priority AE,400.0,Multi-segment,"Off, Did not fire",2085.0,sRGB,DT 1mm F2 SAM
42750557042,HUAWEI,RNE-L21,0.0009813542688910696,2.2,Program AE,50.0,Multi-segment,No Flash,3.8,sRGB,DT 1mm F2 SAM
42115145141,Canon,Canon EOS 5D Mark IV,0.003125,5.0,Aperture-priority AE,100.0,Partial,"Off, Did not fire",271.0,sRGB,EF100-400mm f/4.5-5.6L IS II USM
26570698748,OLYMPUS IMAGING CORP.,E-M5,0.01,5.0,Manual,100.0,Multi-segment,"On, Fired",271.0,sRGB,EF100-400mm f/4.5-5.6L IS II USM
27251443517,NIKON CORPORATION,NIKON D7100,0.0025,3.2,Manual,100.0,Multi-segment,"Off, Did not fire",90.0,sRGB,90.0 mm f/2.8
27318652257,NIKON CORPORATION,NIKON D500,0.0015625,3.5,Manual,200.0,Spot,No Flash,105.0,sRGB,105.0 mm f/2.8
42148048382,Panasonic,DMC-GX80,0.0002,3.5,Shutter speed priority AE,500.0,Multi-segment,"Off, Did not fire",105.0,sRGB,105.0 mm f/2.8
41858240275,OLYMPUS CORPORATION,E-M10MarkII,0.06666666666666667,3.5,Manual,800.0,Spot,"Auto, Did not fire",105.0,Uncalibrated,105.0 mm f/2.8
41817433824,Canon,Canon EOS 80D,0.008,3.5,Manual,100.0,Partial,"Off, Did not fire",105.0,sRGB,105.0 mm f/2.8
40716810510,NIKON CORPORATION,NIKON D500,0.001,4.2,Aperture-priority AE,400.0,Multi-segment,No Flash,85.0,sRGB,85.0 mm f/3.5
42012277231,PENTAX,PENTAX K-5,0.008,5.0,Aperture-priority AE,80.0,Spot,"Off, Did not fire",55.0,sRGB,HD PENTAX-DA 55-300mm F4-5.8 ED WR
40641403020,NIKON CORPORATION,NIKON D610,0.0025,7.1,Manual,200.0,Multi-segment,"Off, Did not fire",105.0,Uncalibrated,HD PENTAX-DA 55-300mm F4-5.8 ED WR
41625944631,NIKON CORPORATION,NIKON D610,0.0025,7.1,Manual,200.0,Multi-segment,"Off, Did not fire",105.0,sRGB,HD PENTAX-DA 55-300mm F4-5.8 ED WR
27274300337,FUJIFILM,X-H1,0.05,8.0,Aperture-priority AE,200.0,Multi-segment,No Flash,19.1,sRGB,XF10-24mmF4 R OIS
42143717731,FUJIFILM,X-H1,0.05,8.0,Aperture-priority AE,200.0,Multi-segment,No Flash,19.1,sRGB,XF10-24mmF4 R OIS
38954495724,NIKON CORPORATION,NIKON D5200,0.00125,6.3,Manual,400.0,Spot,No Flash,270.0,Uncalibrated,TAMRON AF 18-270mm F3.5-6.3 Di II VC PZD B008N
42867714752,NIKON CORPORATION,NIKON D750,0.025,16.0,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",70.0,sRGB,70.0-200.0 mm f/2.8
27470350777,SONY,ILCE-7M2,0.004,16.0,Manual,200.0,Multi-segment,"Off, Did not fire",70.0,sRGB,----
41610127715,SONY,ILCE-7M2,0.004,16.0,Manual,200.0,Multi-segment,"Off, Did not fire",70.0,sRGB,----
42001468625,Panasonic,DMC-GX8,0.00125,5.1,Aperture-priority AE,800.0,Multi-segment,"Off, Did not fire",213.0,sRGB,LEICA DG 100-400/F4.0-6.3
42022843411,NIKON CORPORATION,NIKON D810,0.008,8.0,Manual,800.0,Multi-segment,"Off, Did not fire",28.0,sRGB,28.0-300.0 mm f/3.5-5.6
