pic_id,Camera_Make,Camera_Model,Exposure,Aperture,Exposure_Program,ISO,Metering_Mode,Flash,Focal_Length,Color_Space,Lens_Model
28065252637,Canon,Canon EOS 5D Mark IV,0.00125,5.6,Shutter speed priority AE,800.0,Multi-segment,"Off, Did not fire",600.0,sRGB,EF300mm f/2.8L IS II USM +2x III
42827286402,NIKON CORPORATION,NIKON D5300,0.005,5.6,Aperture-priority AE,1600.0,Multi-segment,No Flash,105.0,sRGB,105.0 mm f/2.8
42887891372,Panasonic,DC-GH5,0.005,5.6,Aperture-priority AE,1600.0,Multi-segment,No Flash,105.0,sRGB,105.0 mm f/2.8
28030873917,Canon,Canon EOS 7D Mark II,0.00125,7.1,Aperture-priority AE,320.0,Multi-segment,"Off, Did not fire",500.0,sRGB,EF500mm f/4L IS USM
42867267402,Canon,Canon EOS 100D,0.0015625,9.0,Aperture-priority AE,400.0,Multi-segment,"Off, Did not fire",18.0,sRGB,EF-S18-55mm f/3.5-5.6 IS STM
29055978218,NIKON CORPORATION,NIKON D500,0.0008,4.0,Manual,160.0,Multi-segment,No Flash,500.0,sRGB,500.0 mm f/4.0
42884824432,Canon,Canon EOS 50D,0.07692307692307693,9.0,Aperture-priority AE,100.0,Center-weighted average,"Off, Did not fire",250.0,sRGB,EF-S55-250mm f/4-5.6 IS STM
42220907344,Canon,Canon EOS 6D,0.2,11.0,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",38.0,sRGB,EF24-70mm f/4L IS USM
28017261557,Canon,Canon EOS-1D X Mark II,0.002,4.0,Manual,1600.0,Multi-segment,"Off, Did not fire",600.0,sRGB,EF600mm f/4L IS II USM
42889603032,Canon,Canon EOS 6D,0.005555555555555556,9.5,Aperture-priority AE,100.0,Evaluative,"Off, Did not fire",24.0,sRGB,EF24-105mm f/4L IS USM
42972370191,OLYMPUS CORPORATION,E-M1MarkII,0.0003125,5.6,Aperture-priority AE,800.0,Center-weighted average,"On, Did not fire",420.0,sRGB,M.300mm F4.0 + MC-14
42184032024,OLYMPUS CORPORATION,E-M1MarkII,0.07692307692307693,6.3,Aperture-priority AE,64.0,Multi-segment,"Off, Did not fire",60.0,Uncalibrated,OLYMPUS M.60mm F2.8 Macro
42229297544,FUJIFILM,X-T2,7.8125e-05,2.0,Aperture-priority AE,800.0,Center-weighted average,No Flash,90.0,Uncalibrated,XF90mmF2 R LM WR
42916999642,NIKON CORPORATION,NIKON D500,0.001,7.1,Aperture-priority AE,400.0,Multi-segment,No Flash,500.0,sRGB,500.0 mm f/4.0
42230016784,SONY,ILCE-6000,0.001,7.1,Manual,640.0,Multi-segment,"Off, Did not fire",500.0,sRGB,----
42892704522,FUJIFILM,X-T2,0.00022727272727272727,2.8,Aperture-priority AE,400.0,Multi-segment,No Flash,80.0,sRGB,XF80mmF2.8 R LM OIS WR Macro
