pic_id,Camera_Make,Camera_Model,Exposure,Aperture,Exposure_Program,ISO,Metering_Mode,Flash,Focal_Length,Color_Space,Lens_Model
29062651458,FUJIFILM,X-T1,125.0,2.0,Manual,400.0,Average,No Flash,35.0,Uncalibrated,XF35mmF2 R WR
42973490591,Canon,Canon EOS 6D,10.0,1.4,Manual,320.0,Partial,"Off, Did not fire",20.0,sRGB,20mm F1.4 DG HSM | Art 015
28061094457,OLYMPUS CORPORATION,E-M1MarkII,5.0,4.0,Manual,200.0,Center-weighted average,"On, Did not fire",18.0,sRGB,OLYMPUS M.12-100mm F4.0
29113288798,Canon,Canon EOS 5D Mark III,49.0,5.6,Bulb,200.0,Multi-segment,"Off, Did not fire",15.0,sRGB,OLYMPUS M.12-100mm F4.0
41162034660,NIKON CORPORATION,NIKON D500,25.0,8.0,Manual,80.0,Multi-segment,No Flash,16.0,sRGB,16.0-80.0 mm f/2.8-4.0
42950439662,Canon,Canon EOS 6D,20.0,1.4,Manual,4000.0,Multi-segment,"Off, Did not fire",20.0,sRGB,20mm F1.4 DG HSM | Art 015
41063005720,Canon,Canon EOS 6D,20.0,1.4,Manual,4000.0,Multi-segment,"Off, Did not fire",20.0,sRGB,20mm F1.4 DG HSM | Art 015
29004169658,Canon,Canon EOS 6D,20.0,1.4,Manual,4000.0,Multi-segment,"Off, Did not fire",20.0,sRGB,20mm F1.4 DG HSM | Art 015
41027694140,Canon,Canon EOS 5D Mark III,30.0,1.8,Manual,3200.0,Multi-segment,"Off, Did not fire",14.0,sRGB,14mm F1.8 DG HSM | Art 017
42808934402,NIKON CORPORATION,NIKON D700,25.0,1.8,Manual,1600.0,Center-weighted average,No Flash,24.0,sRGB,14mm F1.8 DG HSM | Art 017
39073510820,NIKON CORPORATION,NIKON D750,20.0,1.8,Manual,100.0,Center-weighted average,"Off, Did not fire",24.0,sRGB,0.0 mm f/0.0
42095824811,NIKON CORPORATION,NIKON D750,30.0,1.8,Manual,6400.0,Center-weighted average,"Off, Did not fire",24.0,Uncalibrated,0.0 mm f/0.0
26796294218,FUJIFILM,X-T2,7.0,8.0,Aperture-priority AE,200.0,Multi-segment,No Flash,16.6,sRGB,XF10-24mmF4 R OIS
28744310238,FUJIFILM,X-T2,7.0,8.0,Aperture-priority AE,200.0,Multi-segment,No Flash,16.6,sRGB,XF10-24mmF4 R OIS
41076882620,Canon,Canon EOS 1200D,4.0,10.0,Manual,100.0,Evaluative,"Off, Did not fire",32.0,sRGB,EF-S18-55mm f/3.5-5.6 III
39990019540,Canon,Canon EOS 1200D,4.0,10.0,Manual,100.0,Evaluative,"Off, Did not fire",32.0,sRGB,EF-S18-55mm f/3.5-5.6 III
27829635587,SONY,ILCE-7RM2,30.0,10.0,Manual,50.0,Multi-segment,"Off, Did not fire",25.0,sRGB,ZEISS Batis 2/25
41218163295,NIKON CORPORATION,NIKON D750,25.0,4.0,Manual,6400.0,Multi-segment,"Off, Did not fire",16.0,Uncalibrated,16.0-35.0 mm f/4.0
27276803287,SONY,ILCE-7RM3,4.0,2.8,Manual,2000.0,Multi-segment,"Off, Did not fire",18.0,sRGB,FE 16-35mm F2.8 GM
27567787817,SONY,ILCE-7RM3,4.0,2.8,Manual,2000.0,Multi-segment,"Off, Did not fire",18.0,sRGB,FE 16-35mm F2.8 GM
24989049887,NIKON CORPORATION,NIKON D750,53.0,18.0,Manual,100.0,Multi-segment,"Off, Did not fire",24.0,sRGB,TAMRON SP 24-70mm F/2.8 Di VC USD G2 A032N
28180011478,NIKON CORPORATION,NIKON D800,0.02,2.8,Manual,400.0,Multi-segment,"Off, Did not fire",24.0,Uncalibrated,24.0-70.0 mm f/2.8
41577446831,NIKON CORPORATION,NIKON D800,0.02,2.8,Manual,400.0,Multi-segment,"Off, Did not fire",24.0,sRGB,24.0-70.0 mm f/2.8
42818075171,Canon,Canon EOS 60D,0.25,9.0,Aperture-priority AE,640.0,Multi-segment,"Off, Did not fire",10.0,Uncalibrated,10-20mm
28843819648,Canon,Canon EOS 5D Mark III,30.0,9.0,Manual,320.0,Multi-segment,"Off, Did not fire",10.0,Uncalibrated,10-20mm
42079800554,Canon,Canon EOS 6D,182.0,9.0,Bulb,1250.0,Center-weighted average,"Off, Did not fire",10.0,sRGB,10-20mm
40402238095,Canon,Canon EOS M,0.3,7.1,Aperture-priority AE,400.0,Center-weighted average,"Off, Did not fire",10.0,sRGB,EF-S10-18mm f/4.5-5.6 IS STM
27009612327,Canon,Canon EOS 5D Mark IV,30.0,7.1,Manual,1250.0,Multi-segment,"Off, Did not fire",10.0,Uncalibrated,EF-S10-18mm f/4.5-5.6 IS STM
41294094994,Canon,Canon EOS-1D X,0.3,3.2,Manual,800.0,Multi-segment,"Off, Did not fire",19.0,sRGB,TAMRON SP 15-30mm F/2.8 Di VC USD A012
41712859771,OLYMPUS CORPORATION,PEN-F,0.008,1.7,Aperture-priority AE,1000.0,Multi-segment,"Off, Did not fire",15.0,sRGB,LEICA DG SUMMILUX 15/F1.7
26069752398,NIKON CORPORATION,NIKON D800,25.0,3.2,Manual,1600.0,Multi-segment,"Off, Did not fire",17.0,sRGB,17.0-35.0 mm f/2.8
41858240275,OLYMPUS CORPORATION,E-M10MarkII,0.06666666666666667,3.2,Manual,800.0,Spot,"Auto, Did not fire",17.0,Uncalibrated,17.0-35.0 mm f/2.8
40582567595,OLYMPUS CORPORATION,E-M10MarkII,0.06666666666666667,3.2,Manual,800.0,Spot,"Auto, Did not fire",17.0,Uncalibrated,17.0-35.0 mm f/2.8
28813555108,Canon,Canon EOS-1D X,25.0,2.8,Manual,6400.0,Multi-segment,"Off, Did not fire",17.0,sRGB,17.0-35.0 mm f/2.8
40991015245,NIKON CORPORATION,NIKON D750,0.06666666666666667,8.0,Manual,100.0,Multi-segment,"Off, Did not fire",29.0,sRGB,17.0-35.0 mm f/2.8
42448945171,NIKON CORPORATION,NIKON D750,30.0,4.0,Manual,800.0,Multi-segment,"Off, Did not fire",14.0,sRGB,14.0-24.0 mm f/2.8
41119046842,Canon,Canon EOS 5D Mark IV,163.0,16.0,Bulb,200.0,Multi-segment,"Off, Did not fire",180.0,sRGB,EF75-300mm f/4-5.6
40537004894,Canon,Canon EOS 5D Mark IV,163.0,16.0,Bulb,200.0,Multi-segment,"Off, Did not fire",180.0,sRGB,EF75-300mm f/4-5.6
40339983720,NIKON CORPORATION,NIKON D7100,15.0,13.0,Manual,100.0,Multi-segment,"Off, Did not fire",48.0,sRGB,24.0-70.0 mm f/2.8
27373399467,NIKON CORPORATION,NIKON D750,20.0,2.2,Manual,3200.0,Spot,"Off, Did not fire",20.0,Uncalibrated,20.0 mm f/1.8
27231379317,NIKON CORPORATION,NIKON D750,20.0,2.2,Manual,3200.0,Spot,"Off, Did not fire",20.0,sRGB,20.0 mm f/1.8
41049446334,NIKON CORPORATION,NIKON D800,0.4,8.0,Manual,640.0,Multi-segment,"Off, Did not fire",50.0,Uncalibrated,50.0 mm f/1.4
42646146661,Canon,Canon EOS 6D Mark II,0.06666666666666667,11.0,Manual,100.0,Multi-segment,"Off, Did not fire",16.0,sRGB,EF16-35mm f/4L IS USM
41192266480,NIKON CORPORATION,NIKON D810A,15.0,4.5,Manual,10000.0,Multi-segment,"Off, Did not fire",14.0,sRGB,14.0-24.0 mm f/2.8
40649699405,Canon,Canon EOS 6D,15.0,2.8,Manual,1600.0,Partial,"Off, Did not fire",17.0,Uncalibrated,EF16-35mm f/2.8L II USM
25946770978,Mamiya,6MF,15.0,2.8,Manual,160.0,Partial,"Off, Did not fire",75.0,sRGB,Mamiya 75mm f/3.5
42222983794,OLYMPUS IMAGING CORP.,E-M1,0.01,1.8,Aperture-priority AE,200.0,Multi-segment,"Auto, Did not fire",75.0,sRGB,OLYMPUS M.75mm F1.8
41069004715,Canon,Canon EOS 6D Mark II,8.0,13.0,Manual,100.0,Multi-segment,"Off, Did not fire",17.0,sRGB,EF16-35mm f/2.8L III USM
28572420588,Canon,Canon EOS 5D Mark II,25.0,13.0,Manual,3200.0,Multi-segment,"Off, Did not fire",50.0,sRGB,EF16-35mm f/2.8L III USM
41778993865,Canon,Canon EOS 5D Mark II,25.0,13.0,Manual,3200.0,Multi-segment,"Off, Did not fire",50.0,sRGB,EF16-35mm f/2.8L III USM
28295503439,SONY,ILCE-6000,0.2,4.5,Program AE,3200.0,Multi-segment,"Off, Did not fire",24.0,sRGB,E PZ 16-50mm F3.5-5.6 OSS
41790284862,NIKON CORPORATION,NIKON D810,0.04,13.0,Manual,640.0,Multi-segment,"On, Return not detected",17.0,sRGB,10.0-17.0 mm f/3.5-4.5
27829756157,Canon,Canon EOS 1200D,64.0,8.0,Manual,100.0,Multi-segment,"Off, Did not fire",50.0,sRGB,EF50mm f/1.4 USM
42957046101,NIKON CORPORATION,NIKON D750,10.0,4.0,Manual,100.0,Multi-segment,"Off, Did not fire",50.0,sRGB,EF50mm f/1.4 USM
25275171427,NIKON CORPORATION,NIKON D800,9.1,8.0,Manual,200.0,Spot,"Off, Did not fire",19.0,sRGB,14.0-24.0 mm f/2.8
42315086282,NIKON CORPORATION,NIKON D810,0.005,8.0,Manual,200.0,Multi-segment,"Off, Did not fire",403.2,sRGB,14.0-24.0 mm f/2.8
41644396771,NIKON CORPORATION,NIKON D810,0.005,8.0,Manual,200.0,Multi-segment,"Off, Did not fire",403.2,Uncalibrated,14.0-24.0 mm f/2.8
28788351318,NIKON CORPORATION,NIKON D810,30.0,8.0,Manual,6400.0,Multi-segment,"Off, Did not fire",403.2,sRGB,14.0-24.0 mm f/2.8
41651703081,SONY,ILCE-7S,13.0,2.8,Aperture-priority AE,4000.0,Multi-segment,"Off, Did not fire",18.0,sRGB,E 18mm F2.8
42470440671,NIKON CORPORATION,NIKON D850,3.0,5.0,Aperture-priority AE,160.0,Multi-segment,No Flash,70.0,sRGB,24.0-70.0 mm f/2.8
41507515184,NIKON CORPORATION,NIKON D800,15.0,22.0,Aperture-priority AE,64.0,Multi-segment,"Off, Did not fire",19.0,sRGB,16.0-35.0 mm f/4.0
40666044405,NIKON CORPORATION,NIKON D800,15.0,22.0,Aperture-priority AE,64.0,Multi-segment,"Off, Did not fire",19.0,sRGB,16.0-35.0 mm f/4.0
29132520028,NIKON CORPORATION,NIKON D810,20.0,5.6,Manual,64.0,Multi-segment,"Off, Did not fire",20.0,Uncalibrated,20.0 mm f/1.8
40170762921,NIKON CORPORATION,NIKON D7000,20.0,3.5,Manual,500.0,Multi-segment,"Off, Did not fire",16.0,Uncalibrated,16.0-85.0 mm f/3.5-5.6
42402922401,NIKON CORPORATION,NIKON D800,4.0,11.0,Aperture-priority AE,200.0,Multi-segment,"Off, Did not fire",14.0,sRGB,14.0-24.0 mm f/2.8
41640629455,OLYMPUS CORPORATION,E-M10MarkII,1.6,10.0,Manual,100.0,Center-weighted average,"On, Did not fire",14.0,sRGB,14.0-24.0 mm f/2.8
28607000728,NIKON CORPORATION,NIKON D750,15.0,5.6,Manual,640.0,Multi-segment,"Off, Did not fire",16.0,Uncalibrated,16.0-28.0 mm f/2.8
39329174855,FUJIFILM,X30,0.125,2.8,Aperture-priority AE,400.0,Multi-segment,"Off, Did not fire",28.4,Uncalibrated,16.0-28.0 mm f/2.8
28372831839,Canon,Canon EOS 40D,30.0,5.0,Manual,640.0,Multi-segment,"Off, Did not fire",17.0,sRGB,EF-S17-55mm f/2.8 IS USM
39856170182,SONY,ILCE-7RM2,0.00625,4.5,Aperture-priority AE,1250.0,Multi-segment,"Off, Did not fire",79.0,sRGB,FE 70-300mm F4.5-5.6 G OSS
25139732067,"RICOH IMAGING COMPANY, LTD.",PENTAX 645Z,30.0,4.5,Manual,125.0,Center-weighted average,"Off, Did not fire",79.0,sRGB,FE 70-300mm F4.5-5.6 G OSS
28034203139,Canon,Canon EOS 6D,25.0,13.0,Manual,100.0,Center-weighted average,"Off, Did not fire",28.0,sRGB,EF24-105mm f/4L IS USM
42070800215,Canon,Canon EOS 40D,30.0,11.0,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",24.0,sRGB,24-70mm
41339406414,NIKON CORPORATION,NIKON D610,0.008,5.0,Manual,4000.0,Multi-segment,"Off, Did not fire",50.0,sRGB,24-70mm
41523065935,NIKON CORPORATION,NIKON D610,0.008,5.0,Manual,4000.0,Multi-segment,"Off, Did not fire",50.0,sRGB,24-70mm
41816029125,SONY,ILCE-7R,30.0,11.0,Aperture-priority AE,50.0,Center-weighted average,"Off, Did not fire",30.0,sRGB,FE 16-35mm F4 ZA OSS
40488772534,NIKON CORPORATION,NIKON D800,3.0,16.0,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",21.0,sRGB,14.0-24.0 mm f/2.8
2973515622,Canon,Canon PowerShot A590 IS,0.1,2.6,Aperture-priority AE,200.0,Evaluative,"Off, Did not fire",5.8,sRGB,14.0-24.0 mm f/2.8
41526562952,Canon,Canon EOS 600D,0.02,0.0,Manual,400.0,Multi-segment,"Off, Did not fire",50.0,sRGB,14.0-24.0 mm f/2.8
39371616845,"RICOH IMAGING COMPANY, LTD.",PENTAX K-70,6.0,5.6,Manual,100.0,Multi-segment,"Off, Did not fire",18.0,sRGB,14.0-24.0 mm f/2.8
40321382582,Canon,Canon EOS 70D,4.0,8.0,Manual,100.0,Multi-segment,"Off, Did not fire",11.0,sRGB,10-20mm
26518753247,NIKON CORPORATION,NIKON D750,20.0,16.0,Manual,100.0,Multi-segment,"Off, Did not fire",32.0,sRGB,TAMRON SP 24-70mm F/2.8 Di VC USD G2 A032N
41473866925,NIKON CORPORATION,NIKON D810,15.0,2.8,Manual,4000.0,Multi-segment,"Off, Did not fire",24.0,sRGB,TAMRON SP 24-70mm F/2.8 Di VC USD G2 A032N
40484758005,SONY,ILCA-99M2,1.6,13.0,Manual,50.0,Other,"Off, Did not fire",600.0,sRGB,300mm F2.8
28111729927,NIKON CORPORATION,NIKON D5,0.00125,2.8,Manual,1250.0,Spot,No Flash,70.0,sRGB,70.0-200.0 mm f/2.8
38851400545,Canon,Canon EOS 5D Mark III,2.0,5.6,Manual,160.0,Multi-segment,"Off, Did not fire",16.0,sRGB,EF16-35mm f/4L IS USM
40191617662,Canon,Canon EOS 5D Mark III,2.0,2.8,Manual,3200.0,Spot,"Off, Did not fire",16.0,sRGB,EF16-35mm f/2.8L II USM
40338076845,Canon,Canon EOS 5D Mark IV,0.0125,2.8,Manual,800.0,Spot,"On, Fired",125.0,Uncalibrated,EF70-200mm f/2.8L IS II USM
41152945920,Canon,Canon EOS REBEL T3i,30.0,3.5,Manual,100.0,Multi-segment,"Off, Did not fire",18.0,Uncalibrated,TAMRON 18-270mm F/3.5-6.3 DiII VC PZD B008E
29124919868,NIKON CORPORATION,NIKON D7100,4.0,6.7,Manual,100.0,Multi-segment,"Off, Did not fire",18.0,Uncalibrated,18.0-270.0 mm f/3.5-6.3
43002993391,Canon,Canon EOS 6D Mark II,0.02,11.0,Manual,100.0,Multi-segment,"Off, Did not fire",16.0,sRGB,EF16-35mm f/4L IS USM
41043092250,NIKON CORPORATION,NIKON D600,0.004,14.0,Aperture-priority AE,1250.0,Multi-segment,"Off, Did not fire",16.0,Uncalibrated,16.0-35.0 mm f/4.0
42250530374,SONY,ILCE-7RM2,13.0,6.3,Manual,100.0,Multi-segment,"Off, Did not fire",157.0,sRGB,FE 70-300mm F4.5-5.6 G OSS
42097609295,SONY,ILCE-7,0.004,1.8,Manual,1250.0,Center-weighted average,"Off, Did not fire",55.0,sRGB,FE 55mm F1.8 ZA
28005701107,NIKON CORPORATION,NIKON D810,101.0,3.5,Manual,2500.0,Multi-segment,"Off, Did not fire",14.0,sRGB,14.0-24.0 mm f/2.8
14764977500,Canon,Canon EOS 70D,13.0,5.6,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",18.0,sRGB,EF-S18-55mm f/3.5-5.6 IS
42918415152,NIKON CORPORATION,NIKON D750,0.005,5.0,Aperture-priority AE,1000.0,Multi-segment,"Off, Did not fire",70.0,Uncalibrated,28.0-70.0 mm f/3.5-4.5
40174313721,SONY,ILCE-5100,5.0,5.6,Manual,200.0,Multi-segment,"Off, Did not fire",48.0,sRGB,E 18-200mm F3.5-6.3 OSS LE
