pic_id,Camera_Make,Camera_Model,Exposure,Aperture,Exposure_Program,ISO,Metering_Mode,Flash,Focal_Length,Color_Space,Lens_Model
42047714725,NIKON CORPORATION,NIKON D850,0.0003125,11.0,Manual,1000.0,Multi-segment,No Flash,850.0,sRGB,600.0 mm f/4.0
11010744113,FUJIFILM,FinePix XP20,0.0014705882352941176,8.0,Landscape,100.0,Multi-segment,"Off, Did not fire",20.2,sRGB,600.0 mm f/4.0
29076662308,SONY,ILCE-5100,0.001,7.1,Manual,200.0,Multi-segment,"Off, Did not fire",107.0,sRGB,E 18-200mm F3.5-6.3 OSS LE
29019474028,Canon,Canon EOS 5D Mark III,0.001,16.0,Program AE,400.0,Multi-segment,"Off, Did not fire",35.0,sRGB,35mm
42225306421,NIKON CORPORATION,NIKON D7100,0.003125,7.1,Manual,100.0,Multi-segment,"Off, Did not fire",20.0,sRGB,18.0-140.0 mm f/3.5-5.6
38771374180,NIKON CORPORATION,NIKON D810,10.0,11.0,Manual,64.0,Multi-segment,"Off, Did not fire",26.0,sRGB,18.0-140.0 mm f/3.5-5.6
41061361660,Canon,Canon EOS 77D,0.0015625,2.8,Manual,200.0,Multi-segment,"Off, Did not fire",100.0,sRGB,EF100mm f/2.8L Macro IS USM
41971893385,OLYMPUS IMAGING CORP.,E-M5,0.008,7.1,Program AE,800.0,Multi-segment,"Auto, Did not fire",39.0,sRGB,OLYMPUS M.12-50mm F3.5-6.3
41885997394,NIKON CORPORATION,NIKON D3200,0.016666666666666666,11.0,Manual,800.0,Multi-segment,No Flash,142.5,sRGB,OLYMPUS M.12-50mm F3.5-6.3
25149533267,Canon,Canon EOS 6D,1.0,8.0,Manual,250.0,Multi-segment,"Off, Did not fire",16.0,sRGB,EF16-35mm f/2.8L II USM
41782707145,NIKON CORPORATION,NIKON D7000,0.0125,4.5,Manual,200.0,Multi-segment,"Off, Did not fire",78.0,Uncalibrated,24.0-120.0 mm f/4.0
42825831351,NIKON CORPORATION,NIKON D7000,0.0125,4.5,Manual,200.0,Multi-segment,"Off, Did not fire",78.0,Uncalibrated,24.0-120.0 mm f/4.0
41615508234,NIKON CORPORATION,NIKON D850,0.00125,5.6,Manual,220.0,Multi-segment,No Flash,700.0,sRGB,500.0 mm f/4.0
27376313867,Canon,Canon EOS 5DS R,0.06666666666666667,13.0,Aperture-priority AE,400.0,Spot,"Off, Did not fire",11.0,sRGB,EF11-24mm f/4L USM
16603905217,NIKON CORPORATION,NIKON D610,0.0125,4.0,Aperture-priority AE,200.0,Multi-segment,"Off, Did not fire",28.0,sRGB,EF11-24mm f/4L USM
28050877939,Canon,Canon EOS 7D Mark II,0.00125,5.6,Shutter speed priority AE,250.0,Center-weighted average,"Off, Did not fire",400.0,sRGB,EF100-400mm f/4.5-5.6L IS II USM
42019493312,SONY,ILCE-9,0.0004,2.8,Manual,100.0,Multi-segment,"Off, Did not fire",34.0,sRGB,FE 16-35mm F2.8 GM
28623281458,NIKON CORPORATION,NIKON D850,0.003125,8.0,Manual,2500.0,Multi-segment,"Off, Did not fire",179.6,sRGB,FE 16-35mm F2.8 GM
25848779458,Canon,Canon EOS 450D,0.02,2.5,Manual,200.0,Spot,"Off, Did not fire",50.0,Uncalibrated,FE 16-35mm F2.8 GM
39652696055,Canon,Canon EOS 5D Mark IV,2.0,11.0,Manual,100.0,Multi-segment,"Off, Did not fire",16.0,Uncalibrated,EF16-35mm f/4L IS USM
41299107402,Canon,Canon EOS 7D Mark II,0.0004,5.0,Manual,640.0,Multi-segment,"Off, Did not fire",300.0,sRGB,EF100-400mm f/4.5-5.6L IS II USM
41956776594,FUJIFILM,X100F,0.0018181818181818182,4.5,Aperture-priority AE,200.0,Multi-segment,No Flash,23.0,Uncalibrated,EF100-400mm f/4.5-5.6L IS II USM
42920165181,NIKON CORPORATION,NIKON D3100,0.002,5.6,Not Defined,500.0,Multi-segment,"Off, Did not fire",55.0,sRGB,EF100-400mm f/4.5-5.6L IS II USM
42930550411,Canon,Canon EOS 70D,0.025,8.0,Aperture-priority AE,100.0,Center-weighted average,"Off, Did not fire",35.0,Adobe RGB,EF-S18-135mm f/3.5-5.6 IS STM
42040348435,Canon,Canon EOS 5DS R,0.0008,5.6,Manual,640.0,Spot,"Off, Did not fire",840.0,sRGB,EF600mm f/4L IS II USM +1.4x III
