pic_id,Camera_Make,Camera_Model,Exposure,Aperture,Exposure_Program,ISO,Metering_Mode,Flash,Focal_Length,Color_Space,Lens_Model
42037352135,NIKON CORPORATION,NIKON D7100,0.008,8.0,Manual,100.0,Spot,"Off, Did not fire",16.0,,
42808934402,NIKON CORPORATION,NIKON D700,25.0,1.8,Manual,1600.0,Center-weighted average,No Flash,24.0,,
41093587810,NIKON CORPORATION,NIKON D7200,0.4,11.0,Aperture-priority AE,250.0,Multi-segment,"Off, Did not fire",12.0,Uncalibrated,Tokina AT-X 12-28 F4 PRO DX
42025741575,Canon,Canon EOS 70D,0.005,14.0,Landscape,100.0,Evaluative,"Off, Did not fire",24.0,sRGB,EF-S18-135mm f/3.5-5.6 IS STM
42867774512,NIKON CORPORATION,NIKON D90,0.0025,10.0,Program AE,200.0,Multi-segment,No Flash,25.9,sRGB,EF-S18-135mm f/3.5-5.6 IS STM
27970865057,NIKON CORPORATION,NIKON D5200,0.00125,8.0,Manual,100.0,Spot,No Flash,130.7,sRGB,EF-S18-135mm f/3.5-5.6 IS STM
42126104844,Canon,Canon EOS REBEL SL1,0.005,8.0,Not Defined,100.0,Multi-segment,"Off, Did not fire",18.0,sRGB,18-250mm
38719285535,SONY,ILCE-7RM2,0.005,8.0,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",85.0,sRGB,ZEISS Loxia 2.4/85
41063005720,SONY,ILCE-7RM2,0.005,8.0,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",85.0,sRGB,ZEISS Loxia 2.4/85
42162932134,NIKON CORPORATION,NIKON D850,0.001,8.0,Manual,800.0,Multi-segment,No Flash,90.0,sRGB,TAMRON SP 90mm F2.8 Di VC USD Macro 1:1 F004N
28977357928,SONY,ILCE-7S,20.0,8.0,Manual,3200.0,Multi-segment,"Off, Did not fire",90.0,sRGB,----
41692987744,NIKON CORPORATION,NIKON D750,0.6,8.0,Aperture-priority AE,100.0,Center-weighted average,"Off, Did not fire",90.0,sRGB,0.0 mm f/0.0
25220604127,NIKON CORPORATION,NIKON D750,0.6,8.0,Aperture-priority AE,100.0,Center-weighted average,"Off, Did not fire",90.0,sRGB,0.0 mm f/0.0
42095824811,NIKON CORPORATION,NIKON D750,30.0,8.0,Aperture-priority AE,6400.0,Center-weighted average,"Off, Did not fire",90.0,Uncalibrated,0.0 mm f/0.0
41816674765,NIKON CORPORATION,NIKON D750,1.6,8.0,Manual,100.0,Center-weighted average,"Off, Did not fire",90.0,sRGB,0.0 mm f/0.0
27983819457,SONY,DSC-WX220,0.0008,3.3,Program AE,100.0,Multi-segment,"Off, Did not fire",4.5,sRGB,0.0 mm f/0.0
28086309908,Canon,Canon EOS 6D,240.0,13.0,Bulb,100.0,Multi-segment,"Off, Did not fire",17.0,sRGB,EF17-40mm f/4L USM
40930990024,NIKON CORPORATION,NIKON D800,115.0,11.0,Manual,100.0,Multi-segment,"Off, Did not fire",24.0,sRGB,24.0-70.0 mm f/2.8
27900785177,NIKON CORPORATION,NIKON D800,0.002,8.0,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",31.0,Uncalibrated,24.0-120.0 mm f/4.0
41113072780,Panasonic,DMC-FZ1000,0.0003125,8.0,Shutter speed priority AE,125.0,Center-weighted average,"Off, Did not fire",63.9,sRGB,24.0-120.0 mm f/4.0
42078893442,Panasonic,DMC-FZ1000,0.0003125,8.0,Shutter speed priority AE,125.0,Center-weighted average,"Off, Did not fire",63.9,sRGB,24.0-120.0 mm f/4.0
41900161925,NIKON CORPORATION,NIKON D7200,0.005,8.0,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",18.3,sRGB,24.0-120.0 mm f/4.0
39990019540,NIKON CORPORATION,NIKON D7200,0.005,8.0,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",18.3,sRGB,24.0-120.0 mm f/4.0
42146532834,FUJIFILM,X-T2,20.0,2.8,Manual,1600.0,Multi-segment,No Flash,16.0,Uncalibrated,XF16mmF1.4 R WR
35519130966,SONY,ILCE-7RM2,0.016666666666666666,8.0,Aperture-priority AE,160.0,Multi-segment,"Off, Did not fire",16.0,sRGB,FE 16-35mm F4 ZA OSS
27021862407,NIKON CORPORATION,NIKON D800,98.7,18.0,Manual,100.0,Multi-segment,"Off, Did not fire",24.5,sRGB,FE 16-35mm F4 ZA OSS
27964065317,NIKON CORPORATION,NIKON D200,0.008,9.0,Aperture-priority AE,400.0,Multi-segment,No Flash,122.0,Uncalibrated,FE 16-35mm F4 ZA OSS
28027601487,Canon,Canon EOS 5D Mark III,1.0,13.0,Manual,160.0,Multi-segment,"Off, Did not fire",16.0,sRGB,EF16-35mm f/4L IS USM
40986911685,Canon,Canon EOS 5D Mark III,141.0,16.0,Bulb,50.0,Multi-segment,"Off, Did not fire",32.0,sRGB,EF16-35mm f/4L IS USM
39502155495,Canon,Canon EOS 200D,0.00625,9.0,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",18.0,sRGB,EF-S18-55mm f/4-5.6 IS STM
24989049887,NIKON CORPORATION,NIKON D750,53.0,18.0,Manual,100.0,Multi-segment,"Off, Did not fire",24.0,sRGB,TAMRON SP 24-70mm F/2.8 Di VC USD G2 A032N
26577988817,NIKON,COOLPIX P50,0.01818181818181818,2.8,Program AE,175.0,Multi-segment,"Auto, Did not fire",4.7,sRGB,TAMRON SP 24-70mm F/2.8 Di VC USD G2 A032N
41035280734,NIKON,COOLPIX P50,0.01818181818181818,2.8,Program AE,175.0,Multi-segment,"Auto, Did not fire",4.7,Uncalibrated,TAMRON SP 24-70mm F/2.8 Di VC USD G2 A032N
42831086371,NIKON CORPORATION,NIKON D300,0.0008,13.0,Aperture-priority AE,640.0,Spot,No Flash,52.0,Uncalibrated,16.0-80.0 mm f/2.8-4.0
42177224584,NIKON CORPORATION,NIKON D500,2.5,8.0,Aperture-priority AE,50.0,Other,No Flash,16.0,sRGB,16.0-80.0 mm f/2.8-4.0
42389059992,SONY,ILCE-6300,0.5,13.0,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",12.0,sRGB,16.0-80.0 mm f/2.8-4.0
42611904272,NIKON CORPORATION,NIKON D7200,0.01,9.0,Aperture-priority AE,200.0,Multi-segment,"Off, Did not fire",40.0,Uncalibrated,18.0-55.0 mm f/3.5-5.6
42111660294,NIKON CORPORATION,NIKON D750,30.0,10.0,Manual,100.0,Multi-segment,"Off, Did not fire",70.0,Uncalibrated,28.0-300.0 mm f/3.5-5.6
28804481488,NIKON CORPORATION,NIKON D5200,0.003125,13.0,Manual,100.0,Center-weighted average,No Flash,105.0,sRGB,28.0-300.0 mm f/3.5-5.6
42555102312,NIKON CORPORATION,NIKON D5200,0.003125,13.0,Manual,100.0,Center-weighted average,No Flash,105.0,sRGB,28.0-300.0 mm f/3.5-5.6
39388793144,Canon,Canon EOS 70D,0.0015625,4.0,Manual,640.0,Spot,"Off, Did not fire",70.0,sRGB,EF70-200mm f/4L USM
29044509628,Canon,Canon EOS 5D Mark II,182.0,11.0,Bulb,100.0,Multi-segment,"Off, Did not fire",70.0,sRGB,EF24-105mm f/4L IS USM
28233678138,Canon,Canon EOS 5D Mark II,182.0,11.0,Bulb,100.0,Multi-segment,"Off, Did not fire",70.0,sRGB,EF24-105mm f/4L IS USM
39281658030,DJI,FC220,0.0006666666666666666,2.2,Program AE,100.0,Center-weighted average,No flash function,4.7,sRGB,26.3 mm f/2.2
41004725120,NIKON CORPORATION,NIKON D3200,0.002,5.6,Program AE,100.0,Multi-segment,No Flash,90.0,sRGB,26.3 mm f/2.2
27477714567,NIKON CORPORATION,NIKON D850,42.0,11.0,Manual,64.0,Spot,No Flash,20.0,sRGB,20.0 mm f/1.8
42075939351,Canon,Canon EOS 5D Mark III,5.0,22.0,Manual,100.0,Multi-segment,"Off, Did not fire",24.0,Uncalibrated,EF24-105mm f/4L IS USM
40283315990,Canon,Canon EOS 5D Mark IV,0.001,11.0,Shutter speed priority AE,800.0,Spot,"Off, Did not fire",560.0,sRGB,EF400mm f/5.6L USM +1.4x
39038112650,Canon,Canon EOS 60D,0.0015625,6.3,Aperture-priority AE,250.0,Multi-segment,"Off, Did not fire",150.0,Uncalibrated,EF70-300mm f/4-5.6L IS USM
27967054767,Canon,Canon EOS 5D Mark IV,0.00625,16.0,Manual,320.0,Multi-segment,"Off, Did not fire",16.0,Uncalibrated,EF16-35mm f/4L IS USM
40651217265,Canon,Canon EOS 7D Mark II,2.5,16.0,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",16.0,Uncalibrated,Canon EF 16-35mm f/4L IS USM
40537004894,Canon,Canon EOS 7D Mark II,2.5,16.0,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",16.0,sRGB,Canon EF 16-35mm f/4L IS USM
41123639690,Canon,Canon EOS 80D,6.0,10.0,Manual,100.0,Multi-segment,"Off, Did not fire",65.0,sRGB,EF-S15-85mm f/3.5-5.6 IS USM
28885855908,Canon,Canon EOS 6D,0.4,9.0,Manual,100.0,Spot,"Off, Did not fire",35.0,sRGB,EF24-70mm f/4L IS USM
27849605489,Canon,Canon EOS 5D Mark IV,1.0,11.0,Manual,100.0,Multi-segment,"Off, Did not fire",24.0,sRGB,EF16-35mm f/4L IS USM
40339983720,NIKON CORPORATION,NIKON D7100,15.0,13.0,Manual,100.0,Multi-segment,"Off, Did not fire",48.0,sRGB,24.0-70.0 mm f/2.8
42183979064,NIKON CORPORATION,NIKON D810,0.00625,11.0,Manual,160.0,Multi-segment,"Off, Did not fire",24.0,sRGB,24.0-70.0 mm f/2.8
27094838888,SONY,ILCE-6300,0.0004,11.0,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",24.0,sRGB,30mm F1.4 DC DN | Contemporary 016
42214548054,FUJIFILM,X-T2,0.008,7.1,Manual,200.0,Multi-segment,No Flash,20.5,sRGB,XF18-55mmF2.8-4 R LM OIS
42389843301,FUJIFILM,X-T1,0.0025,16.0,Program AE,800.0,Spot,No Flash,24.0,sRGB,XF10-24mmF4 R OIS
28101763508,Canon,Canon EOS 80D,0.003125,5.6,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",10.0,sRGB,EF-S10-18mm f/4.5-5.6 IS STM
39881520010,NIKON CORPORATION,NIKON D750,10.0,8.0,Manual,100.0,Multi-segment,"Off, Did not fire",44.0,sRGB,TAMRON SP 24-70mm F2.8 Di VC USD A007N
38961783510,Canon,Canon EOS 70D,0.00015625,9.0,Shutter speed priority AE,1600.0,Multi-segment,"Off, Did not fire",200.0,sRGB,EF-S18-200mm f/3.5-5.6 IS
24715011007,NIKON CORPORATION,NIKON D5200,0.0008,6.3,Manual,400.0,Multi-segment,No Flash,12.0,sRGB,10.0-24.0 mm f/3.5-4.5
27829756157,Canon,Canon EOS 1200D,64.0,8.0,Manual,100.0,Multi-segment,"Off, Did not fire",50.0,sRGB,EF50mm f/1.4 USM
39486238465,OLYMPUS CORPORATION,E-M1MarkII,0.25,8.0,Manual,800.0,Multi-segment,"Off, Did not fire",12.0,sRGB,EF50mm f/1.4 USM
41079732035,Canon,Canon EOS 6D,30.0,8.0,Manual,100.0,Center-weighted average,"Off, Did not fire",24.0,sRGB,EF24-105mm f/4L IS USM
41104679470,SONY,ILCE-7M3,0.004,8.0,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",25.0,sRGB,FE 24-70mm F2.8 GM
42111654474,NIKON CORPORATION,NIKON D500,0.004,8.0,Program AE,100.0,Multi-segment,No Flash,18.3,sRGB,FE 24-70mm F2.8 GM
41065466370,NIKON CORPORATION,NIKON D810,0.008,9.0,Manual,200.0,Center-weighted average,"Off, Did not fire",169.5,Adobe RGB,FE 24-70mm F2.8 GM
42022843411,NIKON CORPORATION,NIKON D810,0.008,8.0,Manual,800.0,Multi-segment,"Off, Did not fire",28.0,sRGB,28.0-300.0 mm f/3.5-5.6
42820085872,Panasonic,DMC-FZ70,0.002,3.5,Program AE,100.0,Multi-segment,"Off, Did not fire",6.8,sRGB,28.0-300.0 mm f/3.5-5.6
42315086282,NIKON CORPORATION,NIKON D810,0.005,8.0,Manual,200.0,Multi-segment,"Off, Did not fire",403.2,sRGB,28.0-300.0 mm f/3.5-5.6
28216812578,NIKON CORPORATION,NIKON D7100,30.0,5.0,Manual,100.0,Multi-segment,"Off, Did not fire",18.0,sRGB,28.0-300.0 mm f/3.5-5.6
40143922994,NIKON CORPORATION,NIKON D7100,30.0,5.0,Manual,100.0,Multi-segment,"Off, Did not fire",18.0,Uncalibrated,28.0-300.0 mm f/3.5-5.6
