pic_id,Camera_Make,Camera_Model,Exposure,Aperture,Exposure_Program,ISO,Metering_Mode,Flash,Focal_Length,Color_Space,Lens_Model
28027601487,Canon,Canon EOS 5D Mark III,1.0,13.0,Manual,160.0,Multi-segment,"Off, Did not fire",16.0,sRGB,EF16-35mm f/4L IS USM
38789296200,Canon,Canon EOS 6D,0.01,7.1,Manual,160.0,Spot,"Off, Did not fire",16.0,sRGB,Tokina AT-X 16-28 F2.8 PRO FX
25943542447,NIKON CORPORATION,NIKON D850,0.25,22.0,Aperture-priority AE,31.0,Multi-segment,No Flash,38.0,Uncalibrated,24.0-70.0 mm f/2.8
41047823580,NIKON CORPORATION,NIKON D7000,0.04,13.0,Manual,250.0,Multi-segment,"Off, Did not fire",20.0,Uncalibrated,10.0-20.0 mm f/4.0-5.6
27991165517,NIKON CORPORATION,NIKON D810,259.0,11.0,Manual,200.0,Center-weighted average,"Off, Did not fire",18.0,sRGB,16.0-35.0 mm f/4.0
42002254955,NIKON CORPORATION,NIKON D750,1.0,8.0,Aperture-priority AE,50.0,Multi-segment,"Off, Did not fire",16.0,sRGB,16.0-35.0 mm f/4.0
19310793684,FUJIFILM,FinePix S1,0.011764705882352941,2.8,Program AE,100.0,Multi-segment,"Off, Did not fire",4.3,sRGB,16.0-35.0 mm f/4.0
42185153324,FUJIFILM,X-H1,0.05,10.0,Aperture-priority AE,400.0,Multi-segment,No Flash,16.0,sRGB,XF16-55mmF2.8 R LM WR
12949911043,Canon,Canon PowerShot SX210 IS,0.016666666666666666,4.0,Aperture-priority AE,80.0,Evaluative,"Off, Did not fire",5.0,sRGB,XF16-55mmF2.8 R LM WR
41929852715,Canon,Canon PowerShot SX210 IS,0.016666666666666666,4.0,Aperture-priority AE,80.0,Evaluative,"Off, Did not fire",5.0,sRGB,XF16-55mmF2.8 R LM WR
41692987744,NIKON CORPORATION,NIKON D750,0.6,4.0,Aperture-priority AE,100.0,Center-weighted average,"Off, Did not fire",5.0,sRGB,0.0 mm f/0.0
28032631367,Canon,Canon PowerShot SX210 IS,0.01,4.0,Aperture-priority AE,80.0,Evaluative,"Auto, Did not fire",7.0,sRGB,0.0 mm f/0.0
20808655253,FUJIFILM,FinePix S1,0.007142857142857143,3.2,Program AE,100.0,Multi-segment,"Off, Did not fire",4.3,sRGB,0.0 mm f/0.0
41155812705,NIKON CORPORATION,NIKON D810,0.004,4.0,Aperture-priority AE,400.0,Multi-segment,"Off, Did not fire",70.0,sRGB,70.0-200.0 mm f/4.0
39073510820,NIKON CORPORATION,NIKON D750,20.0,4.0,Manual,100.0,Center-weighted average,"Off, Did not fire",70.0,sRGB,0.0 mm f/0.0
42154173002,SONY,ILCE-7RM2,0.25,4.0,Manual,100.0,Multi-segment,"Off, Did not fire",70.0,sRGB,----
41635228074,NIKON CORPORATION,NIKON D750,0.6,11.0,Manual,100.0,Multi-segment,"Off, Did not fire",400.0,Uncalibrated,80.0-400.0 mm f/4.5-5.6
42078893442,NIKON CORPORATION,NIKON D750,0.6,11.0,Manual,100.0,Multi-segment,"Off, Did not fire",400.0,sRGB,80.0-400.0 mm f/4.5-5.6
40563524980,NIKON CORPORATION,NIKON D7200,0.01,9.0,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",10.0,sRGB,10.0-24.0 mm f/3.5-4.5
40774194350,Canon,Canon EOS 5D Mark III,1.3,22.0,Manual,50.0,Multi-segment,"Off, Did not fire",14.0,sRGB,EF14mm f/2.8L II USM
27829635587,SONY,ILCE-7RM2,30.0,10.0,Manual,50.0,Multi-segment,"Off, Did not fire",25.0,sRGB,ZEISS Batis 2/25
41611114472,NIKON CORPORATION,NIKON D7200,0.0025,9.0,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",10.0,sRGB,10.0-24.0 mm f/3.5-4.5
42138478664,NIKON CORPORATION,NIKON D7200,0.0025,9.0,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",10.0,sRGB,10.0-24.0 mm f/3.5-4.5
41660698131,Canon,Canon EOS 5D Mark IV,0.16666666666666666,11.0,Manual,100.0,Multi-segment,"Off, Did not fire",16.0,Uncalibrated,EF16-35mm f/4L IS USM
41319729504,"RICOH IMAGING COMPANY, LTD.",PENTAX K-1 Mark II,0.016666666666666666,8.0,Manual,100.0,Multi-segment,"Off, Did not fire",18.0,sRGB,HD PENTAX-D FA 15-30mm F2.8ED SDM WR
27021862407,NIKON CORPORATION,NIKON D800,98.7,18.0,Manual,100.0,Multi-segment,"Off, Did not fire",24.5,sRGB,HD PENTAX-D FA 15-30mm F2.8ED SDM WR
41097831700,Canon,Canon EOS 5D Mark III,0.016666666666666666,22.0,Aperture-priority AE,200.0,Multi-segment,"Off, Did not fire",24.0,sRGB,EF24-70mm f/2.8L USM
41832328374,Canon,Canon EOS 5D Mark IV,13.0,11.0,Manual,250.0,Multi-segment,"Off, Did not fire",70.0,sRGB,EF24-70mm f/2.8L II USM
