pic_id,Camera_Make,Camera_Model,Exposure,Aperture,Exposure_Program,ISO,Metering_Mode,Flash,Focal_Length,Color_Space,Lens_Model
41123639690,Canon,Canon EOS 80D,6.0,10.0,Manual,100.0,Multi-segment,"Off, Did not fire",65.0,sRGB,EF-S15-85mm f/3.5-5.6 IS USM
42845075672,Canon,Canon EOS 5D Mark IV,0.2,11.0,Manual,50.0,Multi-segment,"Off, Did not fire",70.0,sRGB,EF24-70mm f/2.8L II USM
41093587810,NIKON CORPORATION,NIKON D7200,0.4,11.0,Aperture-priority AE,250.0,Multi-segment,"Off, Did not fire",12.0,Uncalibrated,Tokina AT-X 12-28 F4 PRO DX
42002254955,NIKON CORPORATION,NIKON D750,1.0,8.0,Aperture-priority AE,50.0,Multi-segment,"Off, Did not fire",16.0,Uncalibrated,Tokina AT-X 12-28 F4 PRO DX
28023642457,SONY,ILCE-7,0.25,22.0,Aperture-priority AE,50.0,Multi-segment,"Off, Did not fire",28.0,sRGB,FE 24-240mm F3.5-6.3 OSS
41116421700,Canon,Canon EOS 70D,3.2,18.0,Manual,100.0,Multi-segment,"Off, Did not fire",55.0,sRGB,EF24-105mm f/4L IS USM
29028603718,Canon,Canon EOS REBEL SL1,0.01,5.6,Not Defined,400.0,Multi-segment,"On, Fired",18.0,sRGB,18-250mm
41119715190,Canon,Canon EOS REBEL SL1,0.01,5.6,Not Defined,400.0,Multi-segment,"On, Fired",18.0,sRGB,18-250mm
27991165517,NIKON CORPORATION,NIKON D810,259.0,11.0,Manual,200.0,Center-weighted average,"Off, Did not fire",18.0,sRGB,16.0-35.0 mm f/4.0
41973186975,Panasonic,DMC-FX30,0.005,2.8,Program AE,100.0,Multi-segment,"Auto, Did not fire",4.6,sRGB,16.0-35.0 mm f/4.0
41023331550,Canon,Canon EOS 7D Mark II,0.0004,5.6,Manual,800.0,Multi-segment,"Off, Did not fire",400.0,sRGB,EF100-400mm f/4.5-5.6L IS II USM
41031835770,FUJIFILM,X-T2,0.016666666666666666,7.1,Aperture-priority AE,200.0,Multi-segment,No Flash,21.4,Uncalibrated,XF18-55mmF2.8-4 R LM OIS
29072083078,Apple,iPhone 6s Plus,0.25,2.2,Program AE,160.0,Spot,"Off, Did not fire",4.2,sRGB,iPhone 6s Plus back camera 4.15mm f/2.2
39365784715,Apple,iPhone 6s Plus,0.25,2.2,Program AE,160.0,Spot,"Off, Did not fire",4.2,sRGB,iPhone 6s Plus back camera 4.15mm f/2.2
40382966282,NIKON CORPORATION,NIKON D5200,0.004,10.0,Not Defined,250.0,Multi-segment,"Off, Did not fire",18.0,sRGB,10.0-24.0 mm f/3.5-4.5
39732630672,NIKON CORPORATION,NIKON D5200,0.004,10.0,Not Defined,250.0,Multi-segment,"Off, Did not fire",18.0,sRGB,10.0-24.0 mm f/3.5-4.5
40736262025,SONY,ILCE-7RM3,30.0,8.0,Manual,100.0,Multi-segment,"Off, Did not fire",23.0,Uncalibrated,FE 16-35mm F2.8 GM
41358678455,SONY,ILCA-68,0.000625,4.5,Manual,200.0,Multi-segment,"Off, Did not fire",90.0,sRGB,----
25852978427,SONY,ILCA-68,0.000625,4.5,Manual,200.0,Multi-segment,"Off, Did not fire",90.0,sRGB,----
