pic_id,Camera_Make,Camera_Model,Exposure,Aperture,Exposure_Program,ISO,Metering_Mode,Flash,Focal_Length,Color_Space,Lens_Model
42272236504,Canon,Canon EOS 5DS R,0.005,8.0,Aperture-priority AE,200.0,Multi-segment,"Off, Did not fire",24.0,,EF24mm f/1.4L II USM
5801981372,OLYMPUS IMAGING CORP.,E-510,0.00625,8.0,Manual,100.0,Multi-segment,"On, Did not fire",32.0,,EF24mm f/1.4L II USM
42035782725,Canon,Canon EOS 5D Mark III,0.0025,2.8,Aperture-priority AE,100.0,Center-weighted average,"Off, Did not fire",100.0,sRGB,EF100mm f/2.8L Macro IS USM
42855045431,Canon,Canon EOS 5D Mark III,0.0025,2.8,Aperture-priority AE,100.0,Center-weighted average,"Off, Did not fire",100.0,Uncalibrated,EF100mm f/2.8L Macro IS USM
41356500075,NIKON CORPORATION,NIKON D7000,0.01,11.0,Aperture-priority AE,100.0,Center-weighted average,"Off, Did not fire",8.0,Uncalibrated,8.0-16.0 mm f/4.5-5.6
42107771194,Canon,Canon EOS REBEL T5i,0.0125,8.0,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",50.0,sRGB,18-270mm
26941730647,Canon,Canon EOS REBEL T5i,0.0125,8.0,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",50.0,sRGB,18-270mm
28507916068,Canon,Canon EOS 5D Mark III,46.0,22.0,Bulb,100.0,Multi-segment,"Off, Did not fire",18.0,sRGB,EF16-35mm f/4L IS USM
42936491562,NIKON CORPORATION,NIKON D750,0.5,8.0,Manual,100.0,Multi-segment,"Off, Did not fire",50.0,Uncalibrated,50.0 mm f/1.8
40722132264,OLYMPUS CORPORATION,PEN-F,0.02,6.3,Manual,80.0,Multi-segment,"Off, Did not fire",45.0,sRGB,OLYMPUS M.45mm F1.8
42776409022,Canon,Canon EOS 5D Mark IV,0.0003125,6.3,Aperture-priority AE,3200.0,Multi-segment,"Off, Did not fire",500.0,sRGB,TAMRON SP 150-600mm F/5-6.3 Di VC USD G2 A022
24794995817,Canon,Canon EOS 5DS R,0.125,14.0,Manual,100.0,Multi-segment,"Off, Did not fire",59.0,sRGB,EF24-70mm f/2.8L II USM
38981320924,Canon,Canon EOS 6D,0.06666666666666667,16.0,Manual,100.0,Partial,"Off, Did not fire",21.0,sRGB,EF16-35mm f/4L IS USM
40701269830,Canon,Canon EOS 7D Mark II,0.000625,7.1,Manual,640.0,Center-weighted average,"Off, Did not fire",349.0,sRGB,EF100-400mm f/4.5-5.6L IS II USM
39779562870,FUJIFILM,X-T1,0.0020833333333333333,13.0,Aperture-priority AE,1600.0,Spot,"Off, Did not fire",35.0,Uncalibrated,EF100-400mm f/4.5-5.6L IS II USM
40663959570,NIKON,COOLPIX P900,0.008,4.5,Program AE,160.0,Multi-segment,"Off, Did not fire",46.4,sRGB,EF100-400mm f/4.5-5.6L IS II USM
40240039194,SONY,ILCE-6000,0.008,8.0,Manual,100.0,Spot,"Off, Did not fire",400.0,sRGB,DT 400mm F5.6 SAM
42120141652,Canon,Canon EOS 5D Mark III,0.0025,11.0,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",35.0,sRGB,EF24-70mm f/2.8L II USM
42960789601,Canon,Canon EOS 5D Mark III,0.0025,11.0,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",35.0,sRGB,EF24-70mm f/2.8L II USM
40100761562,Canon,Canon EOS 5D Mark III,0.0025,11.0,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",35.0,sRGB,EF24-70mm f/2.8L II USM
40945121175,Canon,Canon EOS 5D Mark IV,0.0025,5.6,Aperture-priority AE,3200.0,Multi-segment,"Off, Did not fire",100.0,sRGB,EF100mm f/2.8L Macro IS USM
27619679667,SONY,ILCE-6300,0.004,6.3,Aperture-priority AE,125.0,Multi-segment,"Off, Did not fire",125.0,Uncalibrated,E 18-135mm F3.5-5.6 OSS
41666484845,NIKON CORPORATION,NIKON D750,0.02,11.0,Manual,200.0,Multi-segment,"Off, Did not fire",65.0,Uncalibrated,24.0-120.0 mm f/4.0
27802377498,NIKON CORPORATION,NIKON D750,0.00625,4.0,Aperture-priority AE,400.0,Multi-segment,"Off, Did not fire",29.0,sRGB,24.0-70.0 mm f/2.8
41625944631,NIKON CORPORATION,NIKON D750,0.00625,4.0,Aperture-priority AE,400.0,Multi-segment,"Off, Did not fire",29.0,sRGB,24.0-70.0 mm f/2.8
39024674540,NIKON CORPORATION,NIKON D90,0.003125,1.8,Manual,400.0,Spot,No Flash,35.0,sRGB,24.0-70.0 mm f/2.8
42889137452,Canon,Canon EOS 70D,0.0025,8.0,Aperture-priority AE,125.0,Multi-segment,"Off, Did not fire",297.0,sRGB,120-400mm
42220905374,Panasonic,DC-GH5,0.00025,4.0,Aperture-priority AE,200.0,Spot,"Off, Did not fire",15.0,sRGB,LEICA DG 12-60/F2.8-4.0
40168655915,Panasonic,DC-GH5,0.00025,4.0,Aperture-priority AE,200.0,Spot,"Off, Did not fire",15.0,sRGB,LEICA DG 12-60/F2.8-4.0
25153607307,Canon,Canon EOS 200D,0.016666666666666666,5.6,Aperture-priority AE,200.0,Multi-segment,"Off, Did not fire",100.0,Uncalibrated,EF100mm f/2.8L Macro IS USM
40961515640,Canon,Canon EOS 7D Mark II,0.0015625,4.0,Shutter speed priority AE,200.0,Partial,"Off, Did not fire",50.0,Uncalibrated,EF50mm f/1.8 STM
40471273541,Canon,Canon EOS 5D Mark III,0.01,5.6,Aperture-priority AE,800.0,Multi-segment,"Off, Did not fire",35.0,sRGB,EF16-35mm f/4L IS USM
42428619892,Canon,Canon EOS 5D Mark IV,0.25,9.0,Manual,200.0,Multi-segment,"Off, Did not fire",50.0,Uncalibrated,EF50mm f/1.2L USM
41728530971,NIKON CORPORATION,NIKON D7100,0.000625,6.3,Manual,500.0,Center-weighted average,"Off, Did not fire",600.0,Unknown (0),EF50mm f/1.2L USM
25745767817,Canon,Canon EOS 7D,0.005,5.6,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",400.0,Uncalibrated,EF400mm f/5.6L USM
42175319724,Canon,Canon EOS 80D,0.005,5.6,Aperture-priority AE,125.0,Multi-segment,"Off, Did not fire",135.0,sRGB,EF-S18-135mm f/3.5-5.6 IS USM
42362030602,Canon,Canon DIGITAL IXUS 200 IS,0.02,2.8,Aperture-priority AE,400.0,Multi-segment,"Auto, Did not fire",4.3,sRGB,EF-S18-135mm f/3.5-5.6 IS USM
41446182571,NIKON CORPORATION,NIKON D750,0.01,6.3,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",35.0,sRGB,24.0-70.0 mm f/2.8
41776951175,Canon,Canon EOS 5D Mark III,1.0,16.0,Manual,100.0,Multi-segment,"Off, Did not fire",100.0,sRGB,EF100mm f/2.8L Macro IS USM
42282620774,Canon,Canon EOS 5D Mark III,1.0,16.0,Manual,100.0,Multi-segment,"Off, Did not fire",100.0,sRGB,EF100mm f/2.8L Macro IS USM
42248580844,OLYMPUS IMAGING CORP.,E-M1,0.0025,5.0,Aperture-priority AE,200.0,Multi-segment,"Auto, Did not fire",32.0,sRGB,OLYMPUS M.12-40mm F2.8
41456720884,Canon,Canon EOS 5D Mark IV,1.6,11.0,Manual,50.0,Multi-segment,"Off, Did not fire",105.0,sRGB,EF70-200mm f/2.8L IS II USM
26101856547,Nikon,D500,0.00125,8.0,Manual,450.0,Multi-segment,"Off, Did not fire",500.0,sRGB,EF70-200mm f/2.8L IS II USM
42194480022,NIKON CORPORATION,NIKON D800,0.00625,5.0,Aperture-priority AE,200.0,Multi-segment,"Off, Did not fire",19.0,sRGB,14.0-24.0 mm f/2.8
40213793671,Canon,Canon EOS 5D Mark III,0.05,32.0,Manual,800.0,Multi-segment,"Off, Did not fire",142.0,sRGB,EF70-200mm f/2.8L IS II USM
28050670747,Canon,Canon EOS 5D Mark III,0.05,32.0,Manual,800.0,Multi-segment,"Off, Did not fire",142.0,sRGB,EF70-200mm f/2.8L IS II USM
39366204655,Canon,Canon EOS 6D,0.0005,4.0,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",70.0,sRGB,EF24-70mm f/4L IS USM
42217527462,NIKON CORPORATION,NIKON D750,20.0,8.0,Manual,100.0,Multi-segment,"Off, Did not fire",50.0,Uncalibrated,50.0 mm f/1.8
42897656982,Canon,Canon EOS 6D,0.00625,8.0,Aperture-priority AE,160.0,Multi-segment,"Off, Did not fire",24.0,sRGB,EF24-70mm f/2.8L II USM
42235724144,Panasonic,DMC-FZ2000,0.016666666666666666,2.8,Program AE,250.0,Multi-segment,"Off, Did not fire",8.8,sRGB,EF24-70mm f/2.8L II USM
42722786301,Canon,Canon EOS 5D Mark III,0.01,13.0,Shutter speed priority AE,5000.0,Multi-segment,"Off, Did not fire",100.0,Uncalibrated,EF100mm f/2.8L Macro IS USM
42900308192,Canon,Canon EOS 5D Mark III,0.01,13.0,Shutter speed priority AE,5000.0,Multi-segment,"Off, Did not fire",100.0,Uncalibrated,EF100mm f/2.8L Macro IS USM
40524846635,NIKON CORPORATION,NIKON D800,0.01,6.3,Aperture-priority AE,200.0,Multi-segment,"Off, Did not fire",20.0,sRGB,14.0-24.0 mm f/2.8
42365134101,FUJIFILM ,X20,0.01,2.5,Shutter speed priority AE,400.0,Spot,"Off, Did not fire",17.3,sRGB,14.0-24.0 mm f/2.8
39884003160,FUJIFILM,X-T2,0.016666666666666666,8.0,Aperture-priority AE,400.0,Center-weighted average,No Flash,18.0,sRGB,XF18-55mmF2.8-4 R LM OIS
40825437145,FUJIFILM,X-T2,0.016666666666666666,8.0,Aperture-priority AE,400.0,Center-weighted average,No Flash,18.0,sRGB,XF18-55mmF2.8-4 R LM OIS
27823168058,NIKON CORPORATION,NIKON D7100,0.004,5.6,Manual,125.0,Multi-segment,"Off, Did not fire",400.0,Uncalibrated,80.0-400.0 mm f/4.5-5.6
41191267730,SONY,DSC-H200,0.00125,5.6,Program AE,80.0,Multi-spot,No Flash,42.3,sRGB,80.0-400.0 mm f/4.5-5.6
39723640630,Google,Pixel,0.0004409171075837742,2.0,Program AE,51.0,Center-weighted average,"On, Fired",4.7,sRGB,80.0-400.0 mm f/4.5-5.6
28068325577,Google,Pixel,0.0004409171075837742,2.0,Program AE,51.0,Center-weighted average,"On, Fired",4.7,sRGB,80.0-400.0 mm f/4.5-5.6
41035804232,OLYMPUS CORPORATION,E-M10MarkII,0.008,11.0,Aperture-priority AE,200.0,Multi-segment,"Auto, Did not fire",100.0,sRGB,OLYMPUS M.14-150mm F4.0-5.6 II
42259847392,Canon,Canon EOS 70D,15.0,9.0,Manual,100.0,Multi-segment,"Off, Did not fire",11.0,sRGB,EF-S10-22mm f/3.5-4.5 USM
40703515515,FUJIFILM,X-T2,0.0020833333333333333,8.0,Aperture-priority AE,400.0,Center-weighted average,No Flash,18.0,Uncalibrated,XF18-55mmF2.8-4 R LM OIS
41894972752,FUJIFILM,X-T20,0.01,8.0,Aperture-priority AE,640.0,Center-weighted average,No Flash,22.4,sRGB,XF18-135mmF3.5-5.6R LM OIS WR
40995175585,NIKON CORPORATION,NIKON D7100,0.0015625,4.0,Manual,125.0,Multi-segment,"Off, Did not fire",90.0,sRGB,90.0 mm f/2.8
42071000154,NIKON CORPORATION,NIKON D5300,0.005,16.0,Manual,200.0,Multi-segment,No Flash,254.0,sRGB,90.0 mm f/2.8
28427742709,SONY,SONY ILCE-7M2,0.005,2.0,Manual,100.0,Center-weighted average,"Off, Did not fire",105.0,sRGB,90.0 mm f/2.8
41888769925,Canon,Canon EOS 40D,0.000625,8.0,Program AE,400.0,Multi-segment,"Off, Did not fire",85.0,sRGB,EF85mm f/1.8 USM
42264289104,Canon,Canon EOS 40D,0.000625,8.0,Program AE,400.0,Multi-segment,"Off, Did not fire",85.0,sRGB,EF85mm f/1.8 USM
41106129434,SONY,DSC-HX90V,0.00625,3.5,Program AE,80.0,Multi-segment,"Off, Did not fire",4.1,sRGB,EF85mm f/1.8 USM
506914290,SONY,DSC-HX90V,0.00625,3.5,Program AE,80.0,Multi-segment,"Off, Did not fire",4.1,sRGB,EF85mm f/1.8 USM
42966660401,NIKON CORPORATION,NIKON D7200,0.005,7.1,Manual,180.0,Multi-segment,"Off, Did not fire",210.0,sRGB,18.0-300.0 mm f/3.5-6.3
41427575395,FUJIFILM,X100F,0.0008,8.0,Aperture-priority AE,400.0,Multi-segment,No Flash,23.0,sRGB,18.0-300.0 mm f/3.5-6.3
42079014605,SONY,DSC-H200,0.0006666666666666666,18.0,Program AE,80.0,Multi-spot,No Flash,42.3,sRGB,18.0-300.0 mm f/3.5-6.3
29123509578,FUJIFILM,X-T2,0.25,11.0,Manual,200.0,Spot,No Flash,80.0,sRGB,XF80mmF2.8 R LM OIS WR Macro
42113033685,Panasonic,DMC-ZS30,0.03333333333333333,3.3,Aperture-priority AE,400.0,Multi-segment,"Off, Did not fire",4.4,sRGB,XF80mmF2.8 R LM OIS WR Macro
42084035755,Panasonic,DC-GH5,0.008,2.8,Aperture-priority AE,200.0,Spot,"Off, Did not fire",7.0,sRGB,OLYMPUS M.7-14mm F2.8
39425701641,Panasonic,DMC-FZ200,0.00125,4.0,Program AE,100.0,Multi-segment,"Off, Did not fire",108.0,sRGB,OLYMPUS M.7-14mm F2.8
27942520197,Panasonic,DMC-FZ200,0.00125,4.0,Program AE,100.0,Multi-segment,"Off, Did not fire",108.0,sRGB,OLYMPUS M.7-14mm F2.8
41198270115,Panasonic,DMC-TZ61,0.0025,3.4,Program AE,100.0,Multi-segment,"Off, Did not fire",4.7,sRGB,OLYMPUS M.7-14mm F2.8
40897680864,NIKON CORPORATION,NIKON D5300,0.0125,20.0,Aperture-priority AE,160.0,Multi-segment,No Flash,55.0,sRGB,OLYMPUS M.7-14mm F2.8
27316128677,NIKON CORPORATION,NIKON D3200,0.004,2.2,Manual,100.0,Multi-segment,No Flash,50.0,sRGB,AF-S Nikkor 50mm f/1.8G
42342878231,NIKON CORPORATION,NIKON D5300,0.003125,4.8,Not Defined,400.0,Multi-segment,"Off, Did not fire",116.0,sRGB,AF-S Nikkor 50mm f/1.8G
42100878505,Canon,Canon EOS 5D Mark III,0.0025,7.1,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",100.0,sRGB,EF100mm f/2.8L Macro IS USM
15500275463,Canon,Canon PowerShot SX210 IS,0.004,5.0,Aperture-priority AE,80.0,Multi-segment,"Off, Did not fire",40.3,sRGB,EF100mm f/2.8L Macro IS USM
41137799320,Leica Camera AG,M Monochrom,0.0005,8.0,Aperture-priority AE,320.0,Center-weighted average,No Flash,35.0,sRGB,Leica Summilux-M 35mm f/1.4 ASPH.
41951321845,SONY,ILCE-6500,0.016666666666666666,5.6,Aperture-priority AE,1000.0,Multi-segment,"Off, Did not fire",12.0,sRGB,E 12mm F2.8
39680371650,SONY,ILCE-7,0.0008,2.2,Unknown (255),80.0,Unknown (70),"Off, Did not fire",55.0,sRGB,FE 55mm F1.8 ZA
42339488732,Canon,Canon EOS 5D Mark IV,0.003125,2.8,Manual,200.0,Spot,"Off, Did not fire",85.0,Uncalibrated,EF70-200mm f/2.8L IS II USM
39298879014,Canon,Canon PowerShot G16,0.0005,4.5,Manual,80.0,Evaluative,"Off, Did not fire",6.1,sRGB,EF70-200mm f/2.8L IS II USM
39221993545,Canon,Canon EOS 760D,0.003125,8.0,Manual,100.0,Multi-segment,"Off, Did not fire",102.0,sRGB,EF-S18-135mm f/3.5-5.6 IS STM
39235243595,Canon,Canon EOS 760D,0.003125,8.0,Manual,100.0,Multi-segment,"Off, Did not fire",102.0,sRGB,EF-S18-135mm f/3.5-5.6 IS STM
42661012522,NIKON CORPORATION,NIKON D7000,0.003125,6.3,Not Defined,400.0,Multi-segment,"Off, Did not fire",339.0,sRGB,EF-S18-135mm f/3.5-5.6 IS STM
39959505151,Canon,Canon EOS 70D,0.02,6.3,Aperture-priority AE,200.0,Center-weighted average,"Off, Did not fire",300.0,Adobe RGB,TAMRON 16-300mm F/3.5-6.3 Di II VC PZD B016
25247399777,Canon,Canon EOS 70D,0.02,6.3,Aperture-priority AE,200.0,Center-weighted average,"Off, Did not fire",300.0,sRGB,TAMRON 16-300mm F/3.5-6.3 Di II VC PZD B016
41895118795,Panasonic,DMC-TZ70,0.0015625,3.5,Landscape,80.0,Multi-segment,"Auto, Did not fire",5.4,sRGB,TAMRON 16-300mm F/3.5-6.3 Di II VC PZD B016
27150781698,Panasonic,DMC-G6,0.0125,5.6,Program AE,800.0,Multi-segment,"Off, Did not fire",42.0,sRGB,TAMRON 16-300mm F/3.5-6.3 Di II VC PZD B016
29100602158,SONY,ILCE-7S,0.0004,8.0,Manual,250.0,Spot,"Off, Did not fire",600.0,sRGB,TAMRON SP 150-600mm F/5-6.3 Di USD A011S
42064953295,NIKON CORPORATION,NIKON D750,0.008,2.8,Manual,400.0,Multi-segment,"Off, Did not fire",35.0,sRGB,17.0-35.0 mm f/2.8
41226533215,SONY,ILCE-7S,0.00025,8.0,Manual,640.0,Spot,"Off, Did not fire",330.0,sRGB,TAMRON SP 150-600mm F/5-6.3 Di USD A011S
26706716338,NIKON CORPORATION,NIKON D5600,0.004,18.0,Manual,100.0,Multi-segment,"Off, Did not fire",60.0,Uncalibrated,60.0 mm f/2.8
26732713467,NIKON CORPORATION,NIKON D5300,0.04,5.0,Not Defined,3200.0,Multi-segment,"Off, Did not fire",75.5,sRGB,60.0 mm f/2.8
27462911637,Canon,Canon EOS 7D Mark II,0.000625,6.3,Aperture-priority AE,1000.0,Evaluative,"Off, Did not fire",300.0,sRGB,EF300mm f/4L IS USM
27658914567,Canon,Canon EOS 7D,0.004,22.0,Manual,800.0,Partial,"On, Fired",105.0,sRGB,105mm
41225763875,OLYMPUS CORPORATION,E-M1MarkII,0.03333333333333333,2.8,Aperture-priority AE,800.0,Multi-segment,"Off, Did not fire",12.0,Uncalibrated,OLYMPUS M.12-40mm F2.8
40869296044,Canon,Canon EOS 700D,0.003125,5.6,Aperture-priority AE,800.0,Multi-segment,"Off, Did not fire",250.0,Uncalibrated,EF-S55-250mm f/4-5.6 IS
