pic_id,latitude,longitude,county,region,country
28055850137,32.436174,-80.471677,Beaufort,South Carolina,United States
29044509628,50.433837,-3.558883,Devon,England,United Kingdom
41123639690,50.438074,-3.558197,Devon,England,United Kingdom
42078893442,43.404767,-2.971855,Biscay,Basque Country,Spain
42914975571,-36.496359,150.055394,Bega Valley,New South Wales,Australia
27129998917,64.246504,-14.990844,Bega Valley,Auster-Skaftafellssysla,Iceland
42101363431,32.646295,-79.957444,Charleston,South Carolina,United States
42389059992,26.335455,-80.072034,Palm Beach,Florida,United States
41825327791,39.215231,9.525146,Cagliari,Sardinia,Italy
39123931444,39.030704,-74.773249,Cape May,New Jersey,United States
42555102312,43.404767,-2.971855,Biscay,Basque Country,Spain
27403706877,49.390362,-1.032028,Calvados,Lower Normandy,France
41580220285,55.755568,-1.988267,Northumberland,England,United Kingdom
41314152441,51.483889,-0.007852,Greater London,England,United Kingdom
17031717772,26.268963,-80.173845,Broward,Florida,United States
28233678138,50.392662,-5.146892,Cornwall and Isles of Scilly,England,United Kingdom
42075939351,50.994066,-4.532936,Devon,England,United Kingdom
40496070370,50.622023,-2.276659,Dorset,England,United Kingdom
42347286262,33.980666,-118.469500,Los Angeles,California,United States
41019883745,-34.055859,151.155352,Los Angeles,New South Wales,Australia
27780952727,37.089325,-8.666303,Lagos,Faro,Portugal
41936965521,28.345310,-80.605596,Brevard,Florida,United States
26768212488,48.641870,-2.484283,Cotes-d'Armor,Brittany,France
40005395434,54.315922,8.588218,Nordfriesland,Schleswig-Holstein,Germany
25315106537,38.683424,-123.432523,Sonoma,California,United States
42728168922,50.403426,-5.139289,Cornwall and Isles of Scilly,England,United Kingdom
40402419091,40.558482,-73.893227,Queens,New York,United States
27841750709,50.715714,-1.875572,Dorset,England,United Kingdom
39881520010,8.119201,98.678029,Ko Yao,Phangnga,Thailand
41208206592,51.604987,-2.630023,Gloucestershire,England,United Kingdom
39405911625,63.413617,-19.005918,Gloucestershire,Vestur-Skaftafellssysla,Iceland
42471225082,39.022308,-74.789256,Cape May,New Jersey,United States
41625905985,47.891798,-124.628466,Clallam,Washington,United States
40065175665,58.153395,-7.098809,Eilean Siar,Scotland,United Kingdom
28271942008,51.021914,-4.499523,Devon,England,United Kingdom
40609714322,68.105984,13.289676,Flakstad Kommune,Nordland,Norway
42071520432,-34.046792,151.158270,Flakstad Kommune,New South Wales,Australia
42849045542,25.737417,-80.167343,Miami-Dade,Florida,United States
