pic_id,latitude,longitude,county,region,country
28134602817,36.843808,-75.971660,Virginia Beach City,Virginia,United States
43025977181,36.843739,-75.971961,Virginia Beach City,Virginia,United States
41063005720,-30.648121,115.140988,Dandaragan,Western Australia,Australia
42808934402,37.683922,-6.318082,Seville,Andalusia,Spain
39073510820,25.083508,55.146877,Dubai,Dubai,United Arab Emirates
42095824811,45.245313,-81.523768,Bruce,Ontario,Canada
28744310238,53.311121,-4.041059,Anglesey County,Wales,United Kingdom
39990019540,-32.421775,115.953397,Serpentine-jarrahdale,Western Australia,Australia
41218163295,36.614511,-117.110417,Inyo,California,United States
24989049887,51.904686,4.496680,Rotterdam,South Holland,Netherlands
28180011478,31.236692,121.487116,Shanghai,Shanghai,China
40269512472,47.511677,19.039663,Budapest X.,Budapest,Hungary
42818075171,48.214121,16.376388,Vienna,Vienna,Austria
42079800554,50.629634,-3.318514,Devon,England,United Kingdom
40402238095,35.171191,136.884805,Nakamura-ku,Aichi Prefecture,Japan
27009612327,45.239345,-81.498062,Bruce,Ontario,Canada
41712859771,43.776586,7.506945,Alpes-Maritimes,Provence-Alpes-Cote d'Azur,France
27477219588,48.850647,2.355258,Paris,Ile-de-France,France
41275361124,38.714246,-9.131355,Lisbon,Lisbon,Portugal
40582567595,48.365231,10.170121,Landkreis Neu-Ulm,Bavaria,Germany
42448945171,51.775879,7.442926,Landkreis Coesfeld,North Rhine-Westphalia,Germany
40537004894,36.223209,-113.059573,Mohave,Arizona,United States
40339983720,48.853844,2.287312,Paris,Ile-de-France,France
41049446334,-33.857943,151.214060,Paris,New South Wales,Australia
40649699405,63.403763,-19.103248,Paris,Vestur-Skaftafellssysla,Iceland
26539817778,31.639936,77.418594,Kulu,Himachal Pradesh,India
25946770978,35.702413,-117.868677,Kulu,California,United States
28572420588,37.511359,-118.202505,Kulu,California,United States
42957046101,33.060244,-104.011689,Chaves,New Mexico,United States
25275171427,52.519210,13.400595,Berlin,Berlin,Germany
28788351318,45.245252,-81.523833,Bruce,Ontario,Canada
41651703081,52.699111,-3.910757,Gwynedd,Wales,United Kingdom
42470440671,45.436555,12.333550,Venice,Veneto,Italy
26241700327,35.452430,139.504877,Seya-ku,Kanagawa Prefecture,Japan
40666044405,68.131255,13.856517,Vestvagoy Kommune,Nordland,Norway
40170762921,46.001758,11.222390,Trentino,Trentino-Alto Adige,Italy
42402922401,50.864727,4.347594,Brussel Hoofdstad,Capital Region of Brussels,Belgium
41640629455,37.412130,-5.989780,Seville,Andalusia,Spain
39329174855,48.214121,16.376388,Vienna,Vienna,Austria
28372831839,-27.144891,-109.430308,Isla de Pascua Province,Valparaiso Region,Chile
39856170182,43.656249,-79.379299,Toronto,Ontario,Canada
25139732067,37.772504,-122.305009,Alameda,California,United States
28034203139,53.471981,-2.295885,Greater Manchester,England,United Kingdom
41339406414,35.685308,139.696183,Shibuya-ku,Tokyo Prefecture,Japan
41523065935,37.181290,-3.595447,Granada,Andalusia,Spain
41816029125,48.856646,2.348778,Paris,Ile-de-France,France
40488772534,51.910536,4.483386,Rotterdam,South Holland,Netherlands
40666445954,67.770538,-115.249156,Nunavut,Nunavut,Canada
2973515622,41.883876,12.500381,Rome,Lazio,Italy
41526562952,52.323642,-2.073197,Worcestershire,England,United Kingdom
39371616845,53.250226,10.401177,Luneburg,Lower Saxony,Germany
40321382582,53.787139,-1.554715,West Yorkshire,England,United Kingdom
26518753247,25.083333,55.146477,Dubai,Dubai,United Arab Emirates
41473866925,36.613805,-118.125836,Inyo,California,United States
40191617662,64.246608,-21.068515,Inyo,Arnessysla,Iceland
40338076845,48.207347,16.359758,Vienna,Vienna,Austria
41152945920,40.692356,-99.134127,Buffalo,Nebraska,United States
29124919868,48.835656,2.378196,Paris,Ile-de-France,France
28063026539,43.773294,11.255578,Florence,Tuscany,Italy
41043092250,38.736946,-85.378875,Jefferson,Indiana,United States
14764977500,50.895048,4.341487,Brussel Hoofdstad,Capital Region of Brussels,Belgium
40174313721,55.949956,-3.204681,City of Edinburgh,Scotland,United Kingdom
38657167585,43.321993,11.332697,Siena,Tuscany,Italy
42949087291,40.705627,-73.990173,Brooklyn,New York,United States
41934645102,41.487807,-81.749353,Cuyahoga,Ohio,United States
25090225347,43.773201,11.255021,Florence,Tuscany,Italy
25817820228,52.080835,4.313978,The Hague,South Holland,Netherlands
40902608812,48.856270,2.348520,Paris,Ile-de-France,France
41152597320,51.505042,-0.086067,Greater London,England,United Kingdom
40546605572,36.162998,-86.773066,Davidson,Tennessee,United States
